What is your name?,What is your gender?,What was your course in UG?,What is your UG specialization? Major Subject (Eg; Mathematics),What are your interests?,What are your skills ? (Select multiple if necessary),What was the average CGPA or Percentage obtained in under graduation?,Did you do any certification courses additionally?,"If yes, please specify your certificate course title.",Are you working?,"If yes, then what is/was your first Job title in your current field of work? If not applicable, write NA.","Have you done masters after undergraduation? If yes, mention your field of masters.(Eg; Masters in Mathematics)"
Yoga Aditya,Male,Psikologi,Psikologi Industri,"Konseling, Terapi, Kesehatan Mental","Psikotes, Asesmen, SPSS",7.8,No,NA,No,NA,Masters in Counseling
Budi Santoso,Female,Perikanan,Sosial Ekonomi Perikanan,"Budidaya Ikan, Akuakultur, Tambak","Pengolahan Ikan, HACCP, Food Safety",7.02,No,NA,No,NA,
Qirana Putri,Female,Desain Komunikasi Visual,Ilustrasi,"UI/UX, Product Design, Prototyping","Adobe Illustrator, Photoshop, InDesign",9.43,Yes,,Yes,Graphic Designer,
Ulfa Nuraini,Male,Sistem Informasi,Enterprise System,"Database, Data Management, BI","Python, Tableau, Power BI, SQL",8.82,No,NA,No,,
Dian Rahayu,Female,Farmasi,Farmasi Industri,"Penelitian, Farmakologi, Drug Discovery","Compounding, Dispensing, Farmakologi",9.08,Yes,STRA Apoteker,Yes,QC Analyst,Sp. Farmasi Klinis
Dita Maharani,Female,Akuntansi,Perpajakan,"Akuntansi, Perpajakan, Keuangan","Perpajakan, e-SPT, Brevet",8.19,Yes,CPA,No,NA,Masters in Accounting
Zara Nabila,Male,Sistem Informasi,Sistem Informasi Bisnis,"IT Project Management, Konsultasi","PHP, MySQL, Web Development",9.07,Yes,SAP Certified,No,NA,Masters in Information Systems
Petra Wijaya,Female,Pendidikan,Pendidikan Matematika,"Bimbingan Konseling, Psikologi Pendidikan","Bimbingan, Konseling, Komunikasi",6.84,No,NA,No,NA,NA
Ivan Gunawan,Female,Hubungan Internasional,Politik Internasional,"Organisasi Internasional, PBB, NGO","Komunikasi, Presentasi, Diplomasi",8.34,No,NA,Yes,Diplomat,NA
Qirana Putri,Female,Hubungan Internasional,Organisasi Internasional,"Diplomasi, Politik Luar Negeri, Negosiasi","Analisis Politik, Riset, Laporan",9.14,Yes,NA,Yes,Staf Kedutaan,NA
Jeni Kurniawan,Male,Hukum,HTN,"Litigasi, Advokasi, Peradilan","Legal Drafting, Analisis Hukum, Riset",6.82,No,NA,No,NA,NA
Sari Indah,Male,B.Sc,Computer Science,"Physics, Research, Innovation","Python, R, MATLAB, Statistics",7.13,No,NA,No,NA,NA
Dita Maharani,Female,Perikanan,Teknologi Hasil Perikanan,"Pengolahan Ikan, Teknologi Pangan","Budidaya Ikan, Kualitas Air, Pakan",6.41,Yes,HACCP Certification,Yes,Quality Control Perikanan,Magister Perikanan
Hesti Ratnasari,Female,Perkapalan,Teknik Perkapalan,"Desain Kapal, Konstruksi, Naval Architecture","Solidworks, ANSYS, Analisis Struktur",6.84,Yes,,Yes,,Magister Teknik Perkapalan
Omar Hakim,Female,BA,English,"Writing, Communication, Media","Public Speaking, Leadership, Teamwork",6.55,No,NA,No,,NA
Hana Sari,Male,Sastra Inggris,Pengajaran Bahasa Inggris,"Pengajaran, Pendidikan, TEFL","Penerjemahan, Bahasa Inggris, Riset",8.02,Yes,,Yes,Interpreter,NA
Miko Prasetyo,Male,Teknik Elektro,Kontrol dan Instrumentasi,"Tenaga Listrik, Energi Terbarukan","AutoCAD Electrical, ETAP, MATLAB",7.13,No,NA,No,,NA
Nina Kusuma,Female,Pertanian,Agroteknologi,"Pertanian, Budidaya, Agronomi","Budidaya Tanaman, Analisis Tanah, GIS",6.61,Yes,GIS Certification,Yes,Peneliti Pertanian,
Tegar Wicaksono,Female,Kedokteran,Spesialis Bedah,"Klinik, Pasien, Diagnosis","Penelitian, Statistik Medis, SPSS",7.68,No,NA,Yes,Peneliti Medis,NA
Eko Wahyudi,Male,BA,Psychology,"Psychology, Counseling, HR","Public Speaking, Leadership, Teamwork",8.27,No,NA,No,NA,Masters in Journalism
Ivan Gunawan,Female,Pendidikan,PGSD,"Mengajar, Kurikulum, Pendidikan","E-Learning, LMS, Canva, Presentasi",6.63,No,,No,NA,NA
Leni Susanti,Male,Ekonomi Pembangunan,Ekonomi Internasional,"Perdagangan Internasional, Ekspor Impor","Ekonometrika, SPSS, Eviews, Analisis",8.67,Yes,NA,No,NA,NA
Fitri Handayani,Female,Sastra Inggris,Penerjemahan,"Pengajaran, Pendidikan, TEFL","Mengajar, Kurikulum, TOEFL",7.12,Yes,IELTS 7.0+,No,NA,NA
Jeni Kurniawan,Male,Perkapalan,Teknik Sistem Perkapalan,"Desain Kapal, Konstruksi, Naval Architecture","Solidworks, ANSYS, Analisis Struktur",6.93,Yes,NA,Yes,Surveyor Kapal,NA
Fara Aulia,Female,Perkapalan,Teknik Perkapalan,"Desain Kapal, Konstruksi, Naval Architecture","Solidworks, ANSYS, Analisis Struktur",8.03,No,,No,NA,NA
Tegar Wicaksono,Male,Psikologi,Psikologi Pendidikan,"Penelitian, Asesmen, Psikometri","Konseling, Wawancara, Empati",8.27,Yes,HRBP Certification,Yes,Peneliti,Masters in Counseling
Agus Salim,Female,Hukum,Hukum Internasional,"Litigasi, Advokasi, Peradilan","Negosiasi, Mediasi, Komunikasi",7.87,No,NA,Yes,Legal Consultant,Magister Hukum
Reza Mahendra,Male,Pendidikan,Pendidikan IPA,"Teknologi Pendidikan, E-Learning","Bimbingan, Konseling, Komunikasi",9.18,No,NA,Yes,Dosen,NA
Ulfa Nuraini,Male,Ilmu Komunikasi,Public Relations,"Digital Marketing, Social Media, Konten","Public Speaking, Media Relations, Canva",6.82,No,NA,Yes,Content Creator,NA
Petra Wijaya,Male,Peternakan,Kesehatan Ternak,"Budidaya Ternak, Produksi, Pemuliaan","Manajemen Ternak, Kesehatan Hewan, Vaksinasi",7.71,No,NA,Yes,,NA
Julia Permata,Male,Pertanian,Hortikultura,"Agribisnis, Wirausaha, Pasar Tani","Agribisnis, Manajemen Usaha Tani",8.18,No,NA,Yes,Agribisnis Manager,NA
Ivan Gunawan,Male,Sastra Inggris,Linguistik,"Penerjemahan, Bahasa, Linguistik","Content Writing, Copywriting, Editing",8.4,No,NA,Yes,Penerjemah,NA
Cahyo Wibowo,Male,B.Tech,Electronics,"Software Engineering, Cloud, DevOps","Python, Java, C++, SQL",7.27,Yes,TensorFlow Developer,No,NA,NA
Lisa Amelia,Male,Peternakan,Nutrisi Ternak,"Budidaya Ternak, Produksi, Pemuliaan","Pengolahan Daging, Susu, Telur",8.96,Yes,Halal Auditor,Yes,Nutritionist Ternak,NA
Sari Indah,Male,Ilmu Komunikasi,Jurnalistik,"Public Relations, Branding, Komunikasi","Public Speaking, Media Relations, Canva",9.46,No,NA,No,NA,NA
Gilang Ramadhan,Male,Sastra Inggris,Pengajaran Bahasa Inggris,"Penulisan, Sastra, Kreatif","Mengajar, Kurikulum, TOEFL",8.01,No,,Yes,Editor,NA
Miko Prasetyo,Female,BCA,Information Technology,"Programming, Web Development, Software","C++, Data Structures, Algorithms",9.15,Yes,AWS Cloud Practitioner,No,NA,Masters in Computer Science
Citra Dewi,Female,Ilmu Komunikasi,Public Relations,"Jurnalistik, Media, Penulisan Berita","Public Speaking, Media Relations, Canva",7.14,No,NA,Yes,Public Relations Officer,MM Marketing Communication
Evan Setiawan,Female,Hukum,Hukum Bisnis,"Litigasi, Advokasi, Peradilan","Negosiasi, Mediasi, Komunikasi",9.27,Yes,,No,NA,NA
Dita Maharani,Female,B.Tech,Electronics,"IoT, Embedded Systems, Robotics","TensorFlow, PyTorch, Machine Learning",9.21,No,,Yes,DevOps Engineer,NA
Oscar Firmansyah,Male,Hubungan Internasional,Politik Internasional,"Perdagangan Internasional, Ekonomi Global","Analisis Politik, Riset, Laporan",8.51,Yes,IELTS 7.0+,Yes,Diplomat,NA
Irfan Maulana,Female,Farmasi,Bioteknologi Farmasi,"Industri Farmasi, Produksi, QC","Penelitian, Laboratorium, Analisis",9.63,No,NA,Yes,Regulatory Affairs,NA
Xena Pratiwi,Male,Perikanan,Sosial Ekonomi Perikanan,"Pengolahan Ikan, Teknologi Pangan","Budidaya Ikan, Kualitas Air, Pakan",8.91,Yes,,No,NA,NA
Fitri Handayani,Male,Ilmu Komunikasi,Komunikasi Digital,"Jurnalistik, Media, Penulisan Berita","Penulisan, Editing, Wawancara",8.75,Yes,PR Certification,Yes,Jurnalis,MA Jurnalistik
Andi Pratama,Female,Hubungan Internasional,Studi Keamanan,"Diplomasi, Politik Luar Negeri, Negosiasi","Komunikasi, Presentasi, Diplomasi",7.28,Yes,TOEFL 600+,Yes,Analis Politik,Masters in International Law
Qori Annisa,Male,Manajemen,Manajemen Pemasaran,"SDM, Organisasi, Leadership","Marketing, Branding, Social Media",7.84,Yes,NA,No,NA,NA
Citra Dewi,Female,Hubungan Internasional,Politik Internasional,"Perdagangan Internasional, Ekonomi Global","Bahasa Inggris, Bahasa Asing, Negosiasi",6.69,No,NA,No,NA,NA
Fitri Handayani,Female,B.Sc,Electronics,"Research, Mathematics, Statistics","Python, R, MATLAB, Statistics",6.47,No,NA,No,NA,
Hana Sari,Male,Perikanan,Sosial Ekonomi Perikanan,"Pengolahan Ikan, Teknologi Pangan","Budidaya Ikan, Kualitas Air, Pakan",7.41,No,NA,No,NA,NA
Xena Pratiwi,Male,Hukum,Hukum Internasional,"Litigasi, Advokasi, Peradilan","Legal Drafting, Analisis Hukum, Riset",8.83,Yes,NA,Yes,Notaris,Magister Hukum
Agus Salim,Female,B.Tech,Mechanical,"IoT, Embedded Systems, Robotics","Python, Java, C++, SQL",9.78,No,NA,No,NA,Masters in AI
Jeni Kurniawan,Female,Teknik Industri,Teknik Produksi,"Supply Chain, Logistik, Operasional","Analisis Data, Minitab, SPSS",6.81,No,,Yes,Process Engineer,NA
Wahyu Nugroho,Male,Desain Komunikasi Visual,Ilustrasi,"Desain Grafis, Branding, Visual","After Effects, Premiere Pro, Animasi",8.3,Yes,Google UX Design,Yes,Graphic Designer,NA
Ulfa Nuraini,Male,Kelautan,Ilmu Kelautan,"Oseanografi, Penelitian Laut, Ekspedisi","Diving, Survei Laut, GIS, QGIS",8.72,Yes,PADI Dive Master,No,NA,NA
Nina Kusuma,Male,Hukum,Hukum Bisnis,"Hukum Bisnis, Kontrak, Korporasi","Legal Drafting, Analisis Hukum, Riset",6.96,No,NA,No,NA,
Nina Kusuma,Male,Kedokteran,Spesialis Anak,"Penelitian Medis, Farmakologi","Tindakan Medis, Jahit Luka, Infus",7.35,No,NA,No,NA,Spesialis Bedah
Wahyu Nugroho,Male,Peternakan,Kesehatan Ternak,Teknologi Pengolahan Hasil Ternak,"Manajemen Ternak, Kesehatan Hewan, Vaksinasi",7.48,No,NA,Yes,Quality Control Produk Ternak,NA
Zara Nabila,Male,B.Tech,Electronics,"Software Engineering, Cloud, DevOps","AWS, Docker, Kubernetes, DevOps",7.79,No,NA,Yes,Civil Engineer,
Vino Pratama,Female,Kedokteran,Kedokteran Gigi,"Penelitian Medis, Farmakologi","Diagnosis, Anamnesis, Pemeriksaan Fisik",7.22,Yes,NA,Yes,Dokter Gigi,NA
Gilang Ramadhan,Male,Psikologi,Psikologi Pendidikan,"Konseling, Terapi, Kesehatan Mental","Konseling, Wawancara, Empati",8.43,Yes,HRBP Certification,No,NA,NA
Petra Wijaya,Female,Ekonomi Pembangunan,Ekonomi Internasional,"Ekonomi, Kebijakan, Pembangunan","Kebijakan Publik, Riset, Laporan",6.24,No,NA,No,NA,
Cahyo Wibowo,Male,Ilmu Komunikasi,Jurnalistik,"Public Relations, Branding, Komunikasi","Public Speaking, Media Relations, Canva",6.27,Yes,NA,No,NA,NA
Evan Setiawan,Male,Hubungan Internasional,Diplomasi,"Organisasi Internasional, PBB, NGO","Bahasa Inggris, Bahasa Asing, Negosiasi",9.01,No,NA,Yes,Staf NGO Internasional,Masters in International Relations
Nita Anggraini,Male,Pendidikan,Pendidikan IPA,"Bimbingan Konseling, Psikologi Pendidikan","Bimbingan, Konseling, Komunikasi",7.74,No,,Yes,Instruktur,M.Pd
Qirana Putri,Male,Kelautan,Konservasi Sumber Daya Laut,"Oseanografi, Penelitian Laut, Ekspedisi","Penelitian, Lab, Sampling, Analisis Data",8.39,No,,No,NA,
Yoga Aditya,Female,Farmasi,Farmasi Industri,"Penelitian, Farmakologi, Drug Discovery","Penelitian, Laboratorium, Analisis",9.24,Yes,NA,No,NA,Masters in Pharmacology
Fara Aulia,Male,Perkapalan,Sistem Perkapalan,"Desain Kapal, Konstruksi, Naval Architecture","AutoCAD, Maxsurf, Ship Design",6.29,Yes,Sertifikasi IMO,No,NA,NA
Kevin Surya,Female,Hubungan Internasional,Diplomasi,"Organisasi Internasional, PBB, NGO","Analisis Politik, Riset, Laporan",8.6,Yes,NA,No,NA,NA
Mohammad Rizki,Female,Sastra Inggris,Pengajaran Bahasa Inggris,"Pengajaran, Pendidikan, TEFL","Mengajar, Kurikulum, TOEFL",8.72,No,,Yes,Guru Bahasa Inggris,Masters in Translation
Tegar Wicaksono,Male,B.Tech,Electronics,"Software Engineering, Cloud, DevOps","Python, Java, C++, SQL",7.06,Yes,NA,Yes,DevOps Engineer,NA
Galih Purnomo,Female,Sistem Informasi,Manajemen Sistem Informasi,"Database, Data Management, BI","SQL, SAP, Business Analysis, Excel",7.39,Yes,,Yes,IT Consultant,MBA IT
Wulan Sari,Female,BA,Political Science,"Public Policy, Law, Governance","Communication, Writing, Research",8.85,Yes,,Yes,HR Executive,NA
Putri Ayu,Female,BCA,Software Development,"Cybersecurity, Networking, Cloud","JavaScript, HTML, CSS, React",6.71,No,NA,Yes,,MCA
Agus Salim,Male,Ekonomi Pembangunan,Ekonomi Moneter,"Perdagangan Internasional, Ekspor Impor","Kebijakan Publik, Riset, Laporan",6.24,Yes,NA,No,NA,
Wahyu Nugroho,Male,B.Sc,Mathematics,"Physics, Research, Innovation","Research, Lab Skills, Report Writing",8.8,Yes,Data Science Certification,No,NA,NA
Shinta Dewi,Female,Ilmu Komunikasi,Public Relations,"Jurnalistik, Media, Penulisan Berita","Penulisan, Editing, Wawancara",8.51,No,NA,Yes,Content Creator,Masters in Communication
Galih Purnomo,Female,Kedokteran,Spesialis Bedah,"Penelitian Medis, Farmakologi","Diagnosis, Anamnesis, Pemeriksaan Fisik",9.18,Yes,ACLS,No,NA,Spesialis Penyakit Dalam
Vino Pratama,Female,Sistem Informasi,Enterprise System,"Database, Data Management, BI","SQL, SAP, Business Analysis, Excel",7.84,No,NA,No,NA,
Lisa Amelia,Female,Hubungan Internasional,Organisasi Internasional,"Diplomasi, Politik Luar Negeri, Negosiasi","Bahasa Inggris, Bahasa Asing, Negosiasi",7.52,No,NA,No,NA,NA
Cahyo Wibowo,Male,Teknik Industri,Sistem Industri,"Quality Control, Six Sigma, Kaizen","MS Project, ERP, SAP",6.99,Yes,Lean Six Sigma Green Belt,No,NA,NA
Julia Permata,Female,B.Com,Commerce,"Finance, Accounting, Business","Tally, MS Excel, Accounting",6.83,No,NA,No,,NA
Xena Pratiwi,Female,Ilmu Komunikasi,Penyiaran,"Jurnalistik, Media, Penulisan Berita","Social Media, Content Creation, SEO",6.48,No,NA,No,NA,NA
Lisa Amelia,Female,Kelautan,Teknologi Kelautan,"Teknologi Kelautan, Survei, Remote Sensing","Diving, Survei Laut, GIS, QGIS",6.94,No,NA,No,NA,Masters in Oceanography
Eko Wahyudi,Female,BA,Psychology,"Public Policy, Law, Governance","MS Office, Content Writing, SEO",9.19,No,NA,No,NA,NA
Tegar Wicaksono,Male,Perikanan,Teknologi Hasil Perikanan,"Manajemen Sumber Daya, Konservasi","Budidaya Ikan, Kualitas Air, Pakan",6.41,Yes,Sertifikasi Akuakultur,Yes,Peneliti Perikanan,Masters in Fisheries
Irfan Maulana,Male,Farmasi,Farmasi Klinis,"Industri Farmasi, Produksi, QC","QC, QA, GMP, HPLC",9.8,No,NA,No,,NA
Eko Wahyudi,Female,Pertanian,Hortikultura,"Teknologi Pertanian, Smart Farming, IoT","Drone Pertanian, Smart Farming, IoT",7.21,Yes,GIS Certification,No,NA,Masters in Agronomy
Oscar Firmansyah,Female,Perikanan,Teknologi Hasil Perikanan,"Budidaya Ikan, Akuakultur, Tambak","Pengolahan Ikan, HACCP, Food Safety",6.67,No,NA,Yes,Penyuluh Perikanan,Magister Perikanan
Ulfah Rahmawati,Female,Hubungan Internasional,Diplomasi,"Diplomasi, Politik Luar Negeri, Negosiasi","Bahasa Inggris, Bahasa Asing, Negosiasi",6.64,No,NA,Yes,,NA
Sari Indah,Female,Farmasi,Bioteknologi Farmasi,"Farmasi Klinis, Obat, Pasien","Penelitian, Laboratorium, Analisis",7.84,No,NA,Yes,Apoteker,NA
Ulfa Nuraini,Female,BA,Sociology,"Psychology, Counseling, HR","Communication, Writing, Research",8.31,Yes,HR Certification,Yes,Public Relations,
Nita Anggraini,Female,Sistem Informasi,Manajemen Sistem Informasi,"Sistem Informasi, ERP, Business Analysis","Python, Tableau, Power BI, SQL",9.45,No,NA,Yes,System Analyst,NA
Budi Santoso,Male,Sastra Inggris,Pengajaran Bahasa Inggris,"Penulisan, Sastra, Kreatif","Mengajar, Kurikulum, TOEFL",9.38,Yes,TEFL Certification,Yes,Penerjemah,NA
Sari Indah,Male,Sastra Inggris,Linguistik,"Pengajaran, Pendidikan, TEFL","Penerjemahan, Bahasa Inggris, Riset",9.09,No,,No,,NA
Jeni Kurniawan,Female,Teknik Industri,Teknik Produksi,"Supply Chain, Logistik, Operasional","Analisis Data, Minitab, SPSS",7.62,No,NA,Yes,Production Planner,NA
Wulan Sari,Male,Teknik Industri,Manajemen Operasi,"Quality Control, Six Sigma, Kaizen","Analisis Data, Minitab, SPSS",7.44,Yes,Lean Six Sigma Green Belt,Yes,Production Planner,NA
Irfan Maulana,Female,Pendidikan,Bimbingan Konseling,"Bimbingan Konseling, Psikologi Pendidikan","Mengajar, RPP, Kurikulum Merdeka",7.76,No,NA,No,NA,NA
Vina Melati,Male,Teknik Industri,Logistik,"Quality Control, Six Sigma, Kaizen","MS Project, ERP, SAP",8.87,Yes,NA,No,NA,NA
Oscar Firmansyah,Male,Ekonomi Pembangunan,Perencanaan Pembangunan,"Ekonomi, Kebijakan, Pembangunan","MS Excel, Statistik, Data Analysis",8.2,No,NA,Yes,Analis Kebijakan,Masters in Economics
Shinta Dewi,Male,Teknik Elektro,Kontrol dan Instrumentasi,"Telekomunikasi, Jaringan, RF","PLC, SCADA, Otomasi, Siemens",9.5,Yes,Cisco CCNA,Yes,Power Engineer,NA
Dita Maharani,Female,Manajemen,Manajemen SDM,"SDM, Organisasi, Leadership","Financial Planning, Budgeting, Excel",8.38,No,NA,No,NA,Masters in Management
Yogi Permana,Female,Kedokteran,Kedokteran Gigi,"Bedah, Operasi, Spesialis","Penelitian, Statistik Medis, SPSS",8.42,No,NA,No,NA,NA
Wahyu Nugroho,Male,Sistem Informasi,E-Business,"Sistem Informasi, ERP, Business Analysis","Python, Tableau, Power BI, SQL",9.53,Yes,CBAP,No,NA,NA
Jeni Kurniawan,Female,Hukum,Hukum Pidana,"Litigasi, Advokasi, Peradilan","MS Word, Legal Research, Presentasi",8.52,Yes,,Yes,Legal Consultant,Masters in Law
Ragil Saputro,Male,B.Tech,Computer Science,"IoT, Embedded Systems, Robotics","Python, Java, C++, SQL",7.59,No,NA,No,NA,Masters in Engineering
Petra Wijaya,Male,B.Sc,Electronics,"Physics, Research, Innovation","Research, Lab Skills, Report Writing",9.15,Yes,R Programming,No,NA,Masters in Data Science
Sari Indah,Male,Kelautan,Ilmu Kelautan,"Konservasi Laut, Ekosistem, Terumbu Karang","Penelitian, Lab, Sampling, Analisis Data",8.17,No,NA,No,NA,NA
Galih Purnomo,Female,BA,Sociology,"Writing, Communication, Media","Communication, Writing, Research",6.72,No,NA,No,NA,MA English
Mohammad Rizki,Male,Perkapalan,Teknik Sistem Perkapalan,"Sistem Perkapalan, Mekanikal, Elektrikal","Marine Engineering, Pemeliharaan Kapal",7.21,No,NA,Yes,Marine Engineer,NA
Cahyo Wibowo,Female,Psikologi,Psikologi Pendidikan,"HR, Rekrutmen, Pengembangan SDM","HR Management, Rekrutmen, Training",8.81,Yes,Konselor Profesional,No,NA,Magister Psikologi
Galih Purnomo,Female,Peternakan,Produksi Ternak,Teknologi Pengolahan Hasil Ternak,"Formulasi Pakan, Nutrisi, Lab",7.25,Yes,Sertifikasi Penyuluh Peternakan,Yes,Penyuluh Peternakan,Magister Peternakan
Evan Setiawan,Male,Farmasi,Farmasi Industri,"Penelitian, Farmakologi, Drug Discovery","Penelitian, Laboratorium, Analisis",9.38,Yes,,No,NA,Masters in Pharmacy
